	Average	1st Qua.	Median	3rd Qua.	Min	Max	SD.
¾SÀYÀ¬total_cover	75	70	80	85	50	90	15.81139
¾SÀYÀ¬C	3.35	2.79	3.08	3.54	2.62	4.72	0.84148
¾SÀYÀ¬EC	72.12	40.6	53.1	108.5	31.1	127.3	43.02978
¾SÀYÀ¬K	2.232	1.51	2.19	2.25	1.46	3.75	0.92515
¾SÀYÀ¬Na	3.942	2.57	3.17	5.72	2.09	6.16	1.87009
¾SÀYÀ¬N	0.282	0.22	0.25	0.32	0.21	0.41	0.08348
¾SÀYÀ¬rock_ratio	12.2	1	5	20	0	35	15.0565
ªF¦NÀ¬total_cover	73.04	60	80	90	40	99	18.33855
ªF¦NÀ¬C	4.965	3.41	3.74	7.535	2.07	9.41	2.42964
ªF¦NÀ¬EC	113.9	70	109.2	161.4	39.8	220.5	51.64809
ªF¦NÀ¬K	2.15	1.28	2.025	2.818	0.38	5.95	1.31494
ªF¦NÀ¬Na	1.112	0.69	0.93	1.445	0.4	2.66	0.59272
ªF¦NÀ¬N	0.2183	0.155	0.19	0.295	0.03	0.44	0.10319
ªF¦NÀ¬rock_ratio	5.591	0	0	10	0	30	9.42468
ªFÀ¬©WÀ¬total_cover	75.22	62.5	80	90	25	99	19.6665
ªFÀ¬©WÀ¬C	2.722	1.557	2.55	4.165	0.59	5.14	1.49084
ªFÀ¬©WÀ¬EC	124.7	82.02	105	149.5	38.2	307.1	72.75916
ªFÀ¬©WÀ¬K	1.652	1.432	1.605	1.88	0.65	2.79	0.48462
ªFÀ¬©WÀ¬Na	2.023	0.9275	1.685	2.428	0.41	5.05	1.44146
ªFÀ¬©WÀ¬N	0.1717	0.08	0.155	0.27	0.01	0.33	0.10589
ªFÀ¬©WÀ¬rock_ratio	10.67	0.25	2	13.75	0	50	15.60542
¦è¦NÀ¬total_cover	76	58.75	82.5	95	5	99	23.05067
¦è¦NÀ¬C	4.825	2.66	4.97	6.832	1.03	9.34	2.55601
¦è¦NÀ¬EC	521.7	75.7	220.3	437.3	26.7	3644	853.72473
¦è¦NÀ¬K	1.73	1.3	1.745	1.945	0.48	4.17	0.77437
¦è¦NÀ¬Na	6.793	1.888	3.595	8.622	0.76	32.26	7.84462
¦è¦NÀ¬N	0.235	0.1225	0.185	0.32	0.03	0.58	0.15509
¦è¦NÀ¬rock_ratio	7.955	0	1	5	0	50	14.82108
¦èÀ¬©WÀ¬total_cover	65	47.5	72.5	81.25	35	90	20.33805
¦èÀ¬©WÀ¬C	3.328	2.31	3.08	3.8	1.83	6.98	1.43139
¦èÀ¬©WÀ¬EC	141.1	67.52	123.8	180.6	36.4	335.8	96.0978
¦èÀ¬©WÀ¬K	2.456	2.05	2.325	2.58	1.88	3.87	0.60136
¦èÀ¬©WÀ¬Na	2.754	1.462	2.285	3.59	0.94	6.34	1.70204
¦èÀ¬©WÀ¬N	0.29	0.215	0.265	0.3175	0.1	0.64	0.13895
¦èÀ¬©WÀ¬rock_ratio	3.455	0	1	5	0	15	4.98725
