island,plotid,total_cover,C,EC,K,Na,N,rock_ratio
¾SÀYÀ¬,ct01,85,3.08,127.3,1.51,5.72,0.25,5
¾SÀYÀ¬,ct02,50,2.79,31.1,1.46,2.09,0.22,35
¾SÀYÀ¬,ct03,70,3.54,40.6,2.19,2.57,0.32,20
¾SÀYÀ¬,ct04,80,2.62,108.5,2.25,6.16,0.21,1
¾SÀYÀ¬,ct05,90,4.72,53.1,3.75,3.17,0.41,0
ªF¦NÀ¬,dg01,40,3.49,220.5,5.95,1.1,0.31,10
ªF¦NÀ¬,dg02,50,3.26,123,3.08,1.72,0.27,25
ªF¦NÀ¬,dg03,85,5.37,198,3.86,2.02,0.44,10
ªF¦NÀ¬,dg04,80,2.74,170.5,0.96,1.4,0.09,0
ªF¦NÀ¬,dg05,90,2.07,188,2.15,1.53,0.12,0
ªF¦NÀ¬,dg06,65,7.42,160,2.55,0.88,0.27,0
ªF¦NÀ¬,dg07,90,9.41,165.5,1.41,1.1,0.19,1
ªF¦NÀ¬,dg08,80,5.19,146.9,2.74,1.49,0.42,0
ªF¦NÀ¬,dg09,40,4,165.6,3.65,2.1,0.29,10
ªF¦NÀ¬,dg10,70,3.62,70.9,1.25,0.66,0.19,0
ªF¦NÀ¬,dg11,99,3.63,118.6,1.29,1.41,0.17,0
ªF¦NÀ¬,dg12,80,2.62,114,0.38,0.98,0.11,0
ªF¦NÀ¬,dg13,90,2.67,39.8,1.02,0.7,0.2,0
ªF¦NÀ¬,dg14,70,3.46,73.2,1.37,0.47,0.16,0
ªF¦NÀ¬,dg15,50,2.39,64,2.1,1.43,0.17,1
ªF¦NÀ¬,dg16,95,8.93,104.3,1.96,0.55,0.18,30
ªF¦NÀ¬,dg17,50,8.5,74.9,0.38,0.7,0.03,
ªF¦NÀ¬,dg18,60,3.85,67.3,3.91,0.74,0.32,0
ªF¦NÀ¬,dg19,80,7.88,91.6,2.02,0.4,0.32,1
ªF¦NÀ¬,dg20,60,4.57,86.4,3.05,0.5,0.23,
ªF¦NÀ¬,dg21,80,3.59,114.6,2.03,0.86,0.17,0
ªF¦NÀ¬,dg22,90,3.52,56.3,1.83,0.48,0.33,10
ªF¦NÀ¬,dg23,99,8.83,59.9,0.41,0.8,0.14,0
ªF¦NÀ¬,dg24,60,8.15,60.9,2.25,2.66,0.12,25
ªFÀ¬©WÀ¬,dy01,60,2.11,270.4,1.76,2.1,0.24,35
ªFÀ¬©WÀ¬,dy02,70,2.95,154.5,2.79,1.88,0.32,10
ªFÀ¬©WÀ¬,dy03,85,2.96,149,2.18,1.11,0.23,1
