"","x"
"1",2125
"2",14390
"3",37392
"4",55138
"5",82774
"6",68113
"7",82702
"8",66937
"9",49023
"10",34969
"11",5103
"12",8719
"13",60556
"14",85609
"15",34863
"16",184
"17",20492
"18",60058
"19",83101
"20",56626
"21",78729
"22",21783
"23",60749
"24",80179
"25",59946
"26",4557
"27",17486
"28",44771
"29",16570
"30",34528
"31",76832
"32",6326
"33",97513
"34",17353
"35",92832
"36",29104
"37",94893
"38",3364
"39",4565
"40",80113
"41",70030
"42",36738
"43",23553
"44",91759
"45",50357
"46",29902
"47",28228
"48",97868
"49",15818
"50",81332
"51",93692
"52",58069
"53",85774
"54",82103
"55",20010
"56",25466
"57",54486
"58",85394
"59",14671
"60",47217
"61",38454
"62",68350
"63",26246
"64",67164
"65",45706
"66",64690
"67",4113
"68",54320
"69",7079
"70",91656
"71",53316
"72",46240
"73",44821
"74",67057
"75",75901
"76",5994
"77",56617
"78",99069
"79",58251
"80",87192
"81",18766
"82",80584
"83",18290
"84",30689
"85",15477
"86",90143
"87",1638
"88",81566
"89",52082
"90",35730
"91",33773
"92",72212
"93",12684
"94",6552
"95",64297
"96",72983
"97",2353
"98",38964
"99",50899
"100",44975
"101",56401
"102",46255
"103",53127
"104",19558
"105",43018
"106",12889
"107",49239
"108",73858
"109",57013
"110",26455
"111",19748
"112",17021
"113",79838
"114",55828
"115",20025
"116",90248
"117",67595
"118",10395
"119",25471
"120",14719
"121",3300
"122",14888
"123",13584
"124",4417
"125",20314
"126",24896
"127",32861
"128",86615
"129",93618
"130",74464
"131",99142
"132",22232
"133",172
"134",31956
"135",48489
"136",84414
"137",25945
"138",92956
"139",39179
"140",93491
"141",87484
"142",58752
"143",53759
"144",97079
"145",82109
"146",30525
"147",7771
"148",12128
"149",28435
"150",43714
"151",45254
"152",77222
"153",43230
"154",98067
"155",6479
"156",43053
"157",88079
"158",27046
"159",5079
"160",92021
"161",9139
"162",57543
"163",3964
"164",10786
"165",10153
"166",46260
"167",20692
"168",85892
"169",96233
"170",24066
"171",90049
"172",73056
"173",75687
"174",33837
"175",32912
"176",12753
"177",18550
"178",76883
"179",29570
"180",64260
"181",54140
"182",80107
"183",45151
"184",14251
"185",13374
"186",15090
"187",73512
"188",74031
"189",18142
"190",90475
"191",52728
"192",62666
"193",86726
"194",55824
"195",22776
"196",62600
"197",32204
"198",58054
"199",97737
"200",97058
"201",43791
"202",58713
"203",470
"204",18349
"205",621
"206",53767
"207",6787
"208",16195
"209",95520
"210",4004
"211",96388
"212",50564
"213",9335
"214",7115
"215",64597
"216",60086
"217",85274
"218",72480
"219",83637
"220",23423
"221",48621
"222",39804
"223",43733
"224",56462
"225",11549
"226",1197
"227",47189
"228",9646
"229",32091
"230",19648
"231",21693
"232",53758
"233",17769
"234",75241
"235",64319
"236",71686
"237",51781
"238",85993
"239",21283
"240",64075
"241",74018
"242",1077
"243",44701
"244",47983
"245",57459
"246",55426
"247",91131
"248",3796
"249",97822
"250",54614
"251",78629
"252",75471
"253",21153
"254",4833
"255",55981
"256",45682
"257",47774
"258",40213
"259",64404
"260",60411
"261",52588
"262",82230
"263",3208
"264",52124
"265",5138
"266",43115
"267",97596
"268",73870
"269",37703
"270",80725
"271",53274
"272",95147
"273",96182
"274",83466
"275",99877
"276",18223
"277",23967
"278",15562
"279",3982
"280",57109
"281",94273
"282",88563
"283",48668
"284",22904
"285",75531
"286",98602
"287",52093
"288",21681
"289",12091
"290",11474
"291",21113
"292",7913
"293",45696
"294",12435
"295",92225
"296",51728
"297",9321
"298",55090
"299",30053
"300",46923
"301",42031
"302",11887
"303",21955
"304",17723
"305",14548
"306",98351
"307",62322
"308",87501
"309",77376
"310",95460
